Into the Breach,9/3/20,9/10/20
Hitman,8/27/20,9/3/20
Shadowrun Returns,8/27/20,9/3/20
shadowrun Hong Kong,8/27/20,9/3/20
Shadowrun Dragonfall,8/27/20,9/3/20
Enter the Gungeon,8/20/20,8/27/20
God's Trigger,8/20/20,8/27/20
The Alto Collection,8/13/20,8/20/20
Remnant: From the Ashes,8/13/20,8/20/20
Wilmot's Warehouse,8/6/20,8/13/20
3 Out Of 10 Season One,8/6/20,8/13/20
Superbrothers: Sword Sworcery Ep,7/30/20,8/6/20
Barony,7/30/20,8/6/20
20XX,7/30/20,8/6/20
Tacoma,7/23/20,7/30/20
Next Up Hero,7/23/20,7/30/20
Torchlight 2,7/16/20,7/23/20
Killing Floor 2,7/9/2020,7/16/20
Lifeless Planet,7/9/2020,7/16/20
The Escapists 2,7/9/2020,7/16/20
Conan Exiles,7/2/2020,7/9/2020
Hue,7/2/2020,7/9/2020
Stranger Things 3: The Game,6/25/2020,7/2/2020
AER Memories of Old,6/25/2020,7/2/2020
Pathway,6/18/2020,6/25/2020
Ark: Survival Evolved,6/11/2020,6/18/2020
Samurai Shodown,6/11/2020,6/18/2020
overcooked! 2,6/4/2020,6/11/2020
Borderlands: The Handsome Collection,5/28/2020,6/4/2020
Sid Meiers Civilization VI,5/21/2020,5/28/2020
Grand Theft Auto V,5/14/2020,5/21/2020
Death Coming,5/7/2020,5/14/2020
Amnesia: The Dark Descent,4/30/2020,5/7/2020
Crashlands,4/30/2020,5/7/2020
For The King,4/23/2020,4/30/2020
Just Cause 4,4/16/2020,4/23/2020
Wheels of Aurelia,4/16/2020,4/23/2020
Sherlock Holmes Crimes & Punishments,4/9/2020,4/16/2020
Close to the Sun,4/9/2020,4/16/2020
Gone Home,4/2/2020,4/9/2020
Hob,4/2/2020,4/9/2020
Figment,3/26/2020,4/2/2020
Tormentor x Punisher,3/26/2020,4/2/2020
Drawful 2,3/26/2020,4/2/2020
World War Z,3/26/2020,4/2/2020
The Stanley Parable,3/19/2020,3/26/2020
Watch Dogs,3/19/2020,3/26/2020
Anodyne 2: Return to Dust,3/12/2020,3/19/2020
A Short Hike,3/12/2020,3/19/2020
Mutazione,3/12/2020,3/19/2020
Offworld Trading Company,3/5/2020,3/12/2020
GoNNER,3/5/2020,3/12/2020
InnerSpace,2/27/2020,3/5/2020
Faeria,2/20/2020,2/27/2020
Aztez,2/13/2020,2/20/2020
Kingdom Come Deliverance,2/13/2020,2/20/2020
Carcassonne,2/6/2020,2/13/2020
Ticket to Ride,2/6/2020,2/13/2020
Pandemic,2/6/2020,2/13/2020
Farming Simulator 19,1/30/2020,2/6/2020
The Bridge 2013,1/23/2020,1/30/2020
Horace,1/16/2020,1/23/2020
Sundered,1/9/2020,1/16/2020
Steep,1/1/2020,1/9/2020
Darksiders,1/1/2020,1/9/2020
Darksiders II,1/1/2020,1/9/2020
Yooka-Laylee and the Impossible Lair,12/31/2019,1/1/2020
Hello Neighbor,12/30/2019,12/31/2019
The Talos Principle,12/29/2019,12/30/2019
Shadow Tactics: Blades of the Shogun,12/28/2019,12/29/2019
Hyper Light Drifter,12/27/2019,12/28/2019
FTL: Faster Than Light,12/26/2019,12/27/2019
Totally Accurate Battle Simulator,12/25/2019,12/26/2019
Celeste,12/24/2019,12/25/2019
Ape Out,12/23/2019,12/24/2019
Little Inferno,12/22/2019,12/23/2019
Superhot,12/21/2019,12/22/2019
TowerFall Ascension,12/20/2019,12/21/2019
Into The Breach,12/19/2019,12/20/2019
The Escapists,12/12/2019,12/19/2019
The Wolf Among Us,12/12/2019,12/19/2019
Jotun: Valhalla Edition,12/6/2019,12/12/2019
Rayman Legends,11/29/2019,12/6/2019
Bad North,11/21/2019,11/29/2019
The Messenger,11/14/2019,11/21/2019
Nuclear Throne,11/7/2019,11/14/2019
Ruiner,11/7/2019,11/14/2019
SOMA,10/31/2019,11/7/2019
Costume Quest,10/31/2019,11/7/2019
Layers of Fear,10/24/2019,10/31/2019
QUBE 2,10/24/2019,10/31/2019
Alan Wake's American Nightmare,10/17/2019,10/24/2019
Observer,10/17/2019,10/24/2019
Surviving Mars and DLCs,10/10/2019,10/17/2019
Minit,10/3/2019,10/10/2019
Everything,9/26/2019,10/3/2019
Metro 2033: Redux,9/26/2019,10/3/2019
Lego Batman 2 DC Super Heroes,9/19/2019,9/26/2019
Lego Batman The Videogame,9/19/2019,9/26/2019
Lego Batman 3 Beyond Gotham,9/19/2019,9/26/2019
Batman Arkham Asylum,9/19/2019,9/26/2019
Batman Arkham City,9/19/2019,9/26/2019
Batman Arkham Knight,9/19/2019,9/26/2019
Conarium,9/12/2019,9/19/2019
The End is Nigh,9/5/2019,9/12/2019
Abzu,9/5/2019,9/12/2019
Celeste and Inside,8/29/2019,9/5/2019
Fez,8/22/2019,8/29/2019
Hyper Light Drifter and Mutant Year Zero,8/15/2019,8/22/2019
GNOG,8/8/2019,8/15/2019
For Honor,8/2/2019,8/9/2019
Alan Wake,8/2/2019,8/9/2019
Moonlighter,7/25/2019,8/2/2019
This War of Mine,7/25/2019,8/2/2019
LIMBO,7/17/2019,7/25/2019
Torchlight,7/11/2019,7/18/2019
Overcooked,7/4/2019,7/11/2019
Last Day of June,6/27/2019,7/4/2019
Rebel Galaxy,6/20/2019,6/27/2019
Enter The Gungeon,6/13/2019,6/20/2019
Kingdom: New Lands,6/6/2019,6/13/2019
City of Brass,5/30/2019,6/6/2019
RiME,5/23/2019,5/30/2019
Stories Untold,5/16/2019,5/30/2019
World of Goo,5/2/2019,5/16/2019
Transistor,4/18/2019,5/2/2019
The Witness,4/4/2019,4/18/2019
Oxenfree,3/21/2019,4/4/2019
Slime Rancher,3/7/2019,3/21/2019
Thimbleweed Park,2/22/2019,3/7/2019
Axiom Verge,2/7/2019,2/22/2019
The Jackbox Party Pack,1/24/2019,2/7/2019
What Remains of Edith Finch,1/11/2019,1/24/2019
Super Meat Boy,12/28/2018,1/10/2019
Subnautica,12/12/2018,12/27/2018
